연도,소주,맥주,와인,위스키,증류주,청주,탁주 및 전통주,기타,합계
2000,25778375,23506092,3059423,15469987,611639,1724958,3809279,2790526,76750279
2005,6263853,56687986,4794071,14122827,354440,1821995,8649987,1083435,93778594
2010,7982343,64051039,7218100,11419169,1115395,3428068,9078381,2423788,106716283
2011,10034962,79733433,1002077,7896693,1356240,4708491,10027381,1578106,116337383
2012,10156744,157423852,996734,5396927,2072324,1856041,5156370,1920410,184979402
2013,12520340,71550850,2349770,4744694,966018,2980927,5946865,1707482,102766946
2014,10511223,93688830,2461145,6539125,1074065,3031357,4389516,4208091,125903352
2015,11046126,96240665,1198008,5029078,454834,1662310,3485924,2406855,121523800
2016,11199037,93128718,1371626,6138469,470412,1411023,2593497,13096678,129409460
2017,10486061,107811088,1583977,3482027,142476,2388766,1157371,3018588,130070354
2018,15500781,158916668,791866,512197,192370,1609074,2551170,2304875,182379001
2019,26632105,204869558,400490,1222656,199020,441605,2899502,11512464,248177400
2020,45462326,174222511,498175,987757,139773,70200,5387264,8621651,235389657
2021,43952950,143765278,359320,752000,19000,72774,1246251,14037092,204204665
